Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.2,27.355,27.59999999999956,-0.2449999999995598,0.169375
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.05,35.564,35.79999999999978,-0.23599999999977445,0.141
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.1,33.634,33.79999999999959,-0.16599999999959256,0.1585
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.2,29.626,29.79999999999951,-0.17399999999950888,0.1565
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.05,22.564,23.0,-0.436,0.17819999999999991
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.1,21.705,22.0,-0.295,0.18524999999999975
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.2,19.796,20.0,-0.204,0.18980000000000005
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.05,24.918,25.200000000000447,-0.28200000000044745,0.182375
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.1,23.918,24.200000000000436,-0.28200000000043657,0.182375
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.2,22.038,22.20000000000041,-0.1620000000004111,0.189875
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.05,28.024,28.400000000000468,-0.3760000000004693,0.1686666666666666
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.1,27.138,27.400000000000432,-0.26200000000043294,0.1781666666666667
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.2,24.265,24.400000000000304,-0.1350000000003056,0.18874999999999995
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.05,31.182,31.599999999999433,-0.4179999999994325,0.14775
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.1,29.422,29.59999999999949,-0.17799999999949068,0.17775
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.2,26.402,26.5999999999996,-0.19799999999959983,0.17525
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.05,34.514,34.799999999999685,-0.2859999999996871,0.1285
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.1,32.642,32.79999999999949,-0.1579999999994907,0.1605
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.2,28.72,28.799999999999518,-0.07999999999951615,0.18
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.05,22.475,23.0,-0.525,0.17375000000000013
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.1,21.565,22.0,-0.435,0.17825000000000005
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.2,19.628,20.0,-0.372,0.18140000000000034
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.05,25.689,26.200000000000458,-0.5110000000004584,0.1680625
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.1,24.7,25.200000000000447,-0.5000000000004474,0.16875
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.2,22.76,23.200000000000426,-0.44000000000042566,0.1725
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.05,29.026,29.400000000000503,-0.37400000000050204,0.16883333333333336
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.1,27.97,28.400000000000468,-0.4300000000004693,0.16416666666666682
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.2,25.092,25.40000000000035,-0.30800000000034927,0.1743333333333332
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.05,32.232,32.599999999999405,-0.36799999999940336,0.154
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.1,30.366,30.59999999999946,-0.23399999999946158,0.17075
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.2,27.398,27.59999999999956,-0.2019999999995598,0.17475
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.05,35.569,35.79999999999978,-0.23099999999977444,0.14225
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.1,33.687,33.79999999999959,-0.11299999999959255,0.17175
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.2,29.705,29.79999999999951,-0.09499999999950887,0.17625
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.05,22.474,23.0,-0.526,0.17370000000000044
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.1,21.381,22.0,-0.619,0.16905000000000003
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.2,19.531,20.0,-0.469,0.17654999999999987
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.05,24.768,25.200000000000447,-0.43200000000044747,0.173
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.1,23.68,24.200000000000436,-0.5200000000004366,0.1675
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.2,21.702,22.20000000000041,-0.4980000000004111,0.168875
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.05,27.992,28.400000000000468,-0.4080000000004693,0.16600000000000012
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.1,27.013,27.400000000000432,-0.38700000000043294,0.16774999999999976
